"reactome_stId_number.raw: Descending",Count
199992,"7,432"
2408522,"7,427"
2644603,"7,362"
3371453,"7,354"
5334118,"7,352"
189445,"7,340"
3108232,"7,335"
5655302,"7,334"
912446,"7,331"
77289,"7,322"
5633007,"7,301"
8979227,"7,293"
450531,"7,236"
69618,"7,217"
1221632,"7,203"
6791312,"7,201"
201451,"7,181"
9010553,"7,181"
3371511,"7,168"
2559586,"7,141"
5687128,"7,129"
198753,"7,118"
3214815,"7,112"
373752,"7,112"
9006921,"7,104"
192823,"7,088"
977606,"7,065"
202424,"7,054"
1222556,"7,051"
1266695,"7,008"
157858,"6,992"
75105,"6,979"
75893,"6,975"
69275,"6,907"
2980736,"6,901"
4791275,"6,878"
3000170,"6,851"
6796648,"6,839"
2467813,"6,816"
1169408,"6,800"
194840,"6,789"
5654736,"6,734"
166016,"6,719"
1236394,"6,680"
2172127,"6,672"
1059683,"6,648"
2129379,"6,609"
8866910,"6,553"
917937,"6,539"
70614,"6,535"
202433,"6,525"
212300,"6,523"
381042,"6,508"
381183,"6,495"
6806667,"6,482"
69002,"6,465"
75205,"6,451"
381070,"6,448"
73942,"6,410"
193704,"6,392"
1989781,"6,383"
71336,"6,375"
5173105,"6,357"
112399,"6,350"
5368287,"6,337"
525793,"6,328"
2500257,"6,301"
75892,"6,301"
5654738,"6,288"
1475029,"6,262"
1368082,"6,198"
71403,"6,157"
8935690,"6,138"
6804756,"6,132"
72649,"6,111"
5362517,"6,050"
72086,"6,041"
111885,"6,029"
69895,"6,027"
2408557,"6,006"
69560,"5,984"
373753,"5,982"
5674400,"5,969"
1489509,"5,932"
3304351,"5,932"
112409,"5,923"
3238698,"5,921"
8956319,"5,889"
157579,"5,868"
774815,"5,864"
69580,"5,841"
3214847,"5,834"
1839126,"5,833"
446107,"5,787"
6783310,"5,777"
186763,"5,763"
196071,"5,737"
69473,"5,729"
5610787,"5,709"
111465,"5,701"
2032785,"5,692"
1362409,"5,676"
422356,"5,651"
69205,"5,644"
373080,"5,641"
68882,"5,629"
5693571,"5,626"
141444,"5,609"
140534,"5,607"
5602358,"5,605"
163125,"5,602"
114604,"5,593"
69563,"5,584"
6794361,"5,571"
1538133,"5,563"
381033,"5,557"
1247673,"5,523"
6799198,"5,507"
8851680,"5,492"
8874081,"5,484"
6807878,"5,465"
6802949,"5,460"
194068,"5,428"
72702,"5,428"
72695,"5,418"
3560792,"5,417"
73728,"5,405"
446353,"5,387"
5358508,"5,378"
109704,"5,373"
8877330,"5,359"
176187,"5,272"
6806003,"5,272"
9609507,"5,261"
69190,"5,260"
1170546,"5,255"
69541,"5,249"
1181150,"5,244"
539107,"5,231"
5626467,"5,225"
5619084,"5,223"
141424,"5,212"
2187338,"5,207"
6803211,"5,192"
5661231,"5,188"
1483255,"5,186"
5683826,"5,185"
421270,"5,172"
8949275,"5,163"
5619102,"5,161"
5625740,"5,151"
1566977,"5,141"
2161522,"5,136"
5652084,"5,128"
8936459,"5,123"
2214320,"5,098"
112311,"5,097"
8951664,"5,096"
5387390,"5,091"
5654699,"5,089"
166166,"5,088"
6802952,"5,076"
201722,"5,062"
445717,"5,049"
190840,"5,048"
5419276,"5,044"
74158,"5,036"
448424,"5,029"
449836,"5,011"
3214841,"4,990"
5669034,"4,990"
389957,"4,985"
1614635,"4,983"
8964572,"4,969"
3108214,"4,952"
425397,"4,948"
9012852,"4,946"
445095,"4,942"
2173796,"4,910"
418990,"4,895"
535488,"4,893"
113416,"4,885"
6804116,"4,874"
5632684,"4,870"
156590,"4,855"
3632863,"4,846"
2151201,"4,835"
70895,"4,827"
416482,"4,817"
168273,"4,813"
1187000,"4,811"
5389840,"4,809"
5683329,"4,787"
606279,"4,773"
112307,"4,730"
8853659,"4,685"
1912408,"4,669"
5686938,"4,665"
9007101,"4,632"
1679131,"4,630"
8854691,"4,628"
166663,"4,624"
8875878,"4,587"
975155,"4,586"
2428924,"4,570"
72662,"4,570"
68867,"4,569"
5678895,"4,558"
392517,"4,552"
8953750,"4,533"
70268,"4,527"
2474795,"4,525"
419037,"4,522"
111453,"4,506"
2029482,"4,496"
1980145,"4,493"
3906995,"4,475"
166058,"4,452"
888590,"4,452"
174577,"4,427"
112308,"4,419"
5625886,"4,409"
73933,"4,401"
