reactome_stId_number.raw: Descending,Count
8848021,"11,115"
3371453,"11,110"
1489509,"11,082"
114508,"11,077"
8979227,"11,076"
5654736,"11,064"
162909,"11,044"
73864,"11,014"
202424,"10,963"
169911,"10,954"
71336,"10,934"
6791312,"10,930"
5633008,"10,917"
77289,"10,901"
977606,"10,901"
1222556,"10,887"
199992,"10,802"
5357769,"10,721"
166016,"10,700"
2467813,"10,630"
2466712,"10,624"
879415,"10,587"
917937,"10,579"
6796648,"10,472"
5617472,"10,379"
2172127,"10,366"
68875,"10,356"
68882,"10,294"
1266695,"10,282"
5660526,"10,253"
74751,"10,251"
111885,"10,225"
1445148,"10,225"
8951664,"10,157"
1989781,"10,139"
69615,"10,132"
5334118,"10,060"
5687128,"10,020"
373752,"9,986"
1368108,"9,980"
71406,"9,924"
5362517,"9,921"
351202,"9,915"
202433,"9,893"
9607240,"9,764"
6802949,"9,708"
5368287,"9,652"
72649,"9,552"
5250941,"9,532"
2129379,"9,516"
2500257,"9,515"
1169408,"9,505"
157579,"9,503"
3214815,"9,485"
75105,"9,468"
69618,"9,406"
2032785,"9,390"
72695,"9,323"
212300,"9,309"
381042,"9,307"
1059683,"9,304"
449836,"9,246"
3000170,"9,220"
5693571,"9,194"
77075,"9,181"
912446,"9,171"
2586552,"9,160"
5655302,"9,147"
6794361,"9,138"
2187338,"9,135"
72702,"9,109"
6806003,"9,104"
6802952,"9,077"
189445,"9,024"
70268,"9,010"
9617828,"8,996"
5218859,"8,971"
1237044,"8,968"
381070,"8,950"
156590,"8,949"
1643713,"8,938"
3238698,"8,920"
198753,"8,913"
112409,"8,910"
157858,"8,852"
2644603,"8,842"
1221632,"8,829"
75205,"8,821"
9006335,"8,766"
5610787,"8,742"
73929,"8,722"
5654738,"8,685"
774815,"8,634"
194068,"8,619"
4791275,"8,569"
379724,"8,567"
6804756,"8,550"
8866910,"8,541"
9006921,"8,500"
5678895,"8,467"
5683826,"8,465"
6783310,"8,464"
168273,"8,449"
373080,"8,409"
8853659,"8,323"
446353,"8,313"
6802955,"8,266"
69895,"8,169"
8935690,"8,158"
73942,"8,146"
5419276,"8,116"
166166,"8,110"
1614635,"8,080"
69473,"8,066"
416482,"8,062"
6807878,"8,048"
141444,"8,032"
5654699,"8,029"
163125,"8,019"
69541,"8,015"
1480926,"8,012"
5423599,"8,006"
9615017,"7,997"
5626467,"7,991"
445717,"7,966"
1475029,"7,952"
71403,"7,921"
112399,"7,896"
69560,"7,880"
5389840,"7,876"
8874081,"7,875"
6802946,"7,867"
73728,"7,846"
69580,"7,827"
448424,"7,799"
166663,"7,779"
5669034,"7,772"
3214847,"7,760"
9012852,"7,743"
190840,"7,727"
1483255,"7,686"
8956319,"7,685"
525793,"7,677"
5358508,"7,626"
6799198,"7,624"
5689880,"7,607"
68867,"7,606"
5619102,"7,604"
5607764,"7,588"
111465,"7,570"
381183,"7,544"
8956320,"7,533"
389957,"7,529"
72086,"7,518"
5632684,"7,509"
1538133,"7,468"
9616222,"7,433"
9033241,"7,429"
1839126,"7,425"
9018678,"7,419"
72662,"7,413"
9013694,"7,410"
112311,"7,400"
69205,"7,399"
9605308,"7,392"
114604,"7,391"
9613829,"7,380"
166058,"7,365"
888590,"7,357"
419037,"7,352"
141424,"7,345"
373753,"7,345"
5625740,"7,330"
8936459,"7,302"
186763,"7,256"
1247673,"7,254"
5675221,"7,240"
6802948,"7,189"
1170546,"7,180"
69563,"7,135"
5652084,"7,105"
2214320,"7,089"
8949275,"7,080"
5661231,"7,056"
1362409,"7,053"
8851680,"7,048"
8877330,"7,040"
1251985,"7,035"
209776,"7,028"
176187,"7,005"
606279,"6,996"
201722,"6,994"
4086398,"6,980"
446107,"6,979"
6804116,"6,975"
75892,"6,970"
9007101,"6,970"
5619084,"6,959"
1679131,"6,921"
381753,"6,918"
381033,"6,913"
70895,"6,890"
8854691,"6,875"
2173796,"6,853"
5653890,"6,845"
2428924,"6,837"
8856825,"6,836"
5686938,"6,824"
975155,"6,796"
5674135,"6,788"
9005895,"6,787"
8852276,"6,771"
112308,"6,759"
111997,"6,731"
421270,"6,726"
140534,"6,721"
448706,"6,716"
977443,"6,713"
1368082,"6,698"
450282,"6,695"
8873719,"6,680"
8953750,"6,677"
5602358,"6,658"
3108214,"6,650"
5625886,"6,647"
429914,"6,644"
9020702,"6,607"
5685942,"6,596"
3906995,"6,589"
73933,"6,557"
8875878,"6,547"
74158,"6,529"
5368286,"6,517"
6790901,"6,516"
418597,"6,511"
69236,"6,500"
429947,"6,491"
1912408,"6,483"
209952,"6,483"
381038,"6,450"
5387390,"6,446"
156711,"6,442"
392517,"6,415"
74182,"6,413"
5627117,"6,404"
69190,"6,387"
6803211,"6,348"
211897,"6,335"
5676590,"6,333"
174577,"6,332"
5693565,"6,326"
418990,"6,301"
5674400,"6,293"
171306,"6,282"
3214841,"6,275"
1980145,"6,272"
389661,"6,263"
5250913,"6,235"
9006115,"6,232"
163841,"6,226"
450408,"6,205"
5654700,"6,202"
2892247,"6,172"
72306,"6,170"
187577,"6,156"
390918,"6,151"
1181150,"6,128"
2161522,"6,126"
111453,"6,112"
211733,"6,101"
5250924,"6,101"
975871,"6,082"
204005,"6,077"
6804754,"6,076"
3304351,"6,071"
8964572,"6,068"
8939236,"6,067"
9018519,"6,056"
8943724,"6,024"
2424491,"6,002"
380320,"6,002"
8951430,"5,996"
174178,"5,989"
5693607,"5,985"
5627123,"5,980"
397795,"5,960"
437239,"5,949"
445095,"5,925"
2029482,"5,908"
2168880,"5,908"
6807505,"5,907"
76009,"5,896"
8939902,"5,896"
73856,"5,878"
69656,"5,876"
69052,"5,869"
3560782,"5,867"
3560792,"5,867"
438064,"5,857"
499943,"5,855"
9022699,"5,846"
3214858,"5,842"
5358346,"5,829"
5654741,"5,825"
1236978,"5,824"
399721,"5,819"
8847993,"5,819"
2151201,"5,804"
174143,"5,803"
114452,"5,799"
2243919,"5,796"
173623,"5,792"
6802953,"5,777"
1566977,"5,773"
5083635,"5,766"
5658442,"5,763"
112313,"5,753"
5660668,"5,747"
427389,"5,733"
168138,"5,732"
174113,"5,730"
5578775,"5,722"
4411364,"5,714"
425397,"5,709"
8852135,"5,687"
72187,"5,686"
3769402,"5,675"
70635,"5,656"
948021,"5,656"
180585,"5,649"
168142,"5,634"
9614657,"5,619"
190872,"5,610"
110330,"5,588"
8854518,"5,579"
168181,"5,570"
2428928,"5,566"
983189,"5,560"
4086400,"5,549"
9012546,"5,547"
112307,"5,539"
5620912,"5,539"
69488,"5,536"
75072,"5,535"
199920,"5,523"
74259,"5,516"
1169091,"5,515"
2559584,"5,510"
2122947,"5,509"
196807,"5,504"
389960,"5,496"
8941333,"5,484"
8856688,"5,465"
70221,"5,453"
8939242,"5,453"
1250196,"5,447"
194313,"5,431"
174084,"5,418"
912526,"5,406"
168638,"5,404"
1187000,"5,395"
8955332,"5,375"
2672351,"5,366"
2029481,"5,355"
194441,"5,347"
166786,"5,346"
937061,"5,344"
9615710,"5,340"
427359,"5,339"
350562,"5,328"
390466,"5,314"
2022377,"5,304"
5673000,"5,297"
1234158,"5,289"
881907,"5,283"
3899300,"5,278"
389958,"5,252"
264876,"5,232"
8949215,"5,230"
176974,"5,227"
456926,"5,218"
6804757,"5,208"
163210,"5,204"
2173789,"5,203"
6811434,"5,201"
8949613,"5,197"
380972,"5,194"
69231,"5,185"
9022707,"5,182"
1296072,"5,180"
8876198,"5,175"
8956321,"5,171"
389977,"5,170"
5576892,"5,148"
68949,"5,145"
430116,"5,144"
1234176,"5,139"
4641265,"5,137"
352230,"5,115"
9634638,"5,112"
1168372,"5,109"
140342,"5,109"
3214842,"5,102"
2644602,"5,077"
69202,"5,073"
75944,"5,063"
5663213,"5,053"
983695,"5,053"
5676594,"5,052"
8939246,"5,042"
71384,"5,041"
211981,"5,040"
375280,"5,029"
5663084,"5,018"
210745,"5,016"
2871796,"5,001"
6781827,"5,001"
2046104,"4,981"
913709,"4,948"
210991,"4,944"
198266,"4,914"
2565942,"4,910"
72202,"4,909"
141405,"4,887"
181438,"4,883"
420499,"4,879"
9014843,"4,873"
2474795,"4,871"
844456,"4,871"
400042,"4,862"
5173214,"4,854"
3000480,"4,852"
6804114,"4,851"
140875,"4,845"
622312,"4,845"
68827,"4,842"
5083625,"4,833"
9013508,"4,833"
159236,"4,827"
2894858,"4,825"
438066,"4,825"
140837,"4,821"
350054,"4,809"
2871837,"4,806"
111448,"4,805"
1660662,"4,803"
6803204,"4,803"
1502540,"4,786"
5693616,"4,782"
190828,"4,779"
1461973,"4,776"
168176,"4,773"
5693579,"4,773"
2299718,"4,772"
432722,"4,771"
5423646,"4,758"
71737,"4,758"
168253,"4,755"
9018677,"4,755"
427413,"4,747"
5637815,"4,730"
5683329,"4,726"
6788656,"4,714"
349425,"4,709"
2564830,"4,703"
6804115,"4,698"
2029485,"4,686"
5662702,"4,684"
73779,"4,684"
1963640,"4,682"
1362277,"4,672"
6799990,"4,662"
75067,"4,660"
422085,"4,657"
5654696,"4,655"
917729,"4,653"
390471,"4,651"
196757,"4,646"
379716,"4,644"
5625900,"4,639"
189200,"4,638"
5689603,"4,635"
5362768,"4,631"
71288,"4,630"
8963899,"4,627"
162599,"4,612"
5654743,"4,610"
163560,"4,609"
380270,"4,599"
6803205,"4,598"
5339562,"4,590"
195399,"4,588"
975138,"4,569"
111447,"4,557"
264870,"4,555"
5682910,"4,549"
69613,"4,548"
2644606,"4,542"
6785631,"4,542"
8866654,"4,528"
5578749,"4,521"
2894862,"4,517"
351906,"4,513"
75158,"4,506"
5684264,"4,501"
8941855,"4,500"
451326,"4,494"
69610,"4,494"
5696399,"4,489"
912694,"4,476"
6808764,"4,473"
2997661,"4,460"
8983711,"4,459"
2172179,"4,457"
400508,"4,442"
5693568,"4,440"
5694530,"4,431"
5607761,"4,430"
389513,"4,427"
392518,"4,419"
8849932,"4,408"
4090294,"4,402"
1031716,"4,396"
5676934,"4,389"
4641257,"4,377"
9022692,"4,375"
180534,"4,374"
203927,"4,373"
936440,"4,365"
3928662,"4,364"
389356,"4,354"
75035,"4,352"
176409,"4,351"
176814,"4,347"
8934593,"4,339"
72165,"4,331"
4615885,"4,330"
5205685,"4,329"
9609736,"4,326"
2995383,"4,325"
8937144,"4,310"
70370,"4,306"
2730905,"4,302"
6804758,"4,301"
5689896,"4,297"
8863795,"4,286"
110328,"4,284"
73927,"4,283"
200425,"4,282"
190861,"4,281"
9630747,"4,278"
8939243,"4,265"
1236382,"4,262"
388844,"4,255"
8853338,"4,251"
139915,"4,250"
71240,"4,250"
9013695,"4,250"
5685938,"4,246"
5357905,"4,245"
8941856,"4,243"
174154,"4,239"
166665,"4,235"
432720,"4,233"
1362300,"4,228"
70614,"4,226"
380259,"4,222"
3928665,"4,220"
9619483,"4,220"
5218921,"4,209"
73854,"4,206"
2428933,"4,197"
5693554,"4,197"
167160,"4,194"
380284,"4,186"
4641258,"4,185"
168179,"4,182"
674695,"4,181"
8941326,"4,181"
936837,"4,181"
193648,"4,173"
68952,"4,173"
977347,"4,172"
450341,"4,171"
2892245,"4,168"
170822,"4,162"
174184,"4,160"
8941332,"4,156"
5579029,"4,154"
196791,"4,147"
933542,"4,142"
1638091,"4,141"
176408,"4,140"
3232118,"4,140"
8951911,"4,137"
9008059,"4,137"
5223345,"4,133"
111933,"4,128"
8941858,"4,126"
5668599,"4,122"
196025,"4,119"
5610785,"4,119"
179812,"4,112"
2173788,"4,107"
8948751,"4,105"
5621575,"4,102"
5083636,"4,099"
75109,"4,096"
182971,"4,093"
168188,"4,091"
68911,"4,087"
179837,"4,086"
9620244,"4,076"
4420332,"4,068"
156588,"4,065"
204998,"4,046"
5690714,"4,046"
380287,"4,045"
6803207,"4,045"
445144,"4,044"
2995410,"4,043"
9020958,"4,033"
69601,"4,032"
187687,"4,024"
209968,"4,022"
77387,"4,020"
73772,"4,011"
8940973,"4,004"
69273,"4,003"
174417,"4,002"
8866911,"3,995"
8963898,"3,994"
5576893,"3,990"
5685939,"3,975"
8869496,"3,974"
2514859,"3,968"
190873,"3,964"
202040,"3,961"
8876725,"3,961"
5637812,"3,944"
5610780,"3,941"
6814122,"3,937"
450321,"3,935"
190241,"3,932"
76042,"3,919"
3560783,"3,916"
2980766,"3,908"
5637810,"3,900"
2871809,"3,896"
389357,"3,888"
2453864,"3,881"
3560801,"3,877"
69017,"3,874"
181431,"3,865"
210500,"3,865"
6788467,"3,858"
8963676,"3,858"
8964043,"3,853"
198203,"3,852"
2179392,"3,852"
5218920,"3,851"
1368071,"3,849"
167044,"3,848"
75815,"3,832"
8951671,"3,831"
8963888,"3,828"
163765,"3,825"
9604323,"3,823"
5655291,"3,821"
8854050,"3,813"
5660489,"3,810"
5603041,"3,809"
2162123,"3,807"
3322077,"3,807"
442982,"3,800"
372708,"3,795"
68884,"3,786"
